[2026-03-06 01:51:01 GMT+7] 🔴 WATCHDOG        | SCRIPT_MISSING       | PEC script not found at /Users/geniustarigan/.openclaw/workspace/smart-filter-v14-main/smart-filter-v14-main/pec_executor.py
[2026-03-06 17:15:45 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 17:30:45 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 17:40:24 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 17:41:28 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 17:54:18 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 17:54:48 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 18:39:43 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:39:43 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:40:43 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:41:10 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 18:41:43 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:42:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:43:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:43:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:44:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:44:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:45:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:45:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:46:37 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 18:46:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:46:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:47:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:47:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:48:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:48:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:49:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:50:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:51:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:51:59 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 18:52:44 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:52:44 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:53:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:53:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:54:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:54:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:55:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:55:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:56:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:56:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:57:30 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 18:57:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:57:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:58:45 GMT+7] 🟡 DAEMON          | STALE_DATA           | SENT_SIGNALS.jsonl not updated for 10+ minutes
[2026-03-06 18:58:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 18:59:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 18:59:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:00:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:00:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:01:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:01:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:02:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:02:53 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:03:45 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:03:45 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:04:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:04:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:05:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:06:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:07:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:07:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:08:11 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:08:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:08:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:09:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:09:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:10:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:10:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:11:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:11:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:12:46 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:12:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:13:28 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:13:46 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:14:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:14:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:15:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:15:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:16:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:16:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:17:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:17:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:18:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:18:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:19:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:19:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:20:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:20:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:21:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:22:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:22:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:23:47 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:24:01 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:24:47 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:24:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:25:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:25:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:26:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:26:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:27:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:27:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:28:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:28:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:29:17 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:29:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:30:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:30:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:31:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:31:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:32:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:32:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:33:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:33:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:34:32 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:34:48 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:34:48 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:35:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:35:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:36:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:37:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:37:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:38:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:38:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:39:47 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:39:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:39:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:40:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:40:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:41:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:41:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:42:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:42:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:43:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:44:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:45:02 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:45:49 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:45:49 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:46:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:46:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:47:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:47:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:48:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:48:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:49:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:49:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:50:16 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:50:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:50:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:51:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:51:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:52:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:52:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:53:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:53:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:54:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:54:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:55:32 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 19:55:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:55:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:56:50 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:56:50 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:57:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:57:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:58:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:58:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:59:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:00:47 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:00:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:00:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:01:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:01:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:02:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:02:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:03:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:03:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:04:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:04:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:05:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:06:01 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:06:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:07:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:07:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:08:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:08:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:09:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:09:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:10:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:10:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:11:19 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:11:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:11:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:12:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:12:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:13:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:13:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:14:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:15:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:15:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:16:36 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:16:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:16:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:17:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:17:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:18:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:18:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:19:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:19:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:20:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:20:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:21:52 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:21:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:21:52 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:22:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:23:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:23:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:24:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:24:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:25:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:25:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:26:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:27:08 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:27:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:27:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:28:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:28:53 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:29:53 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
